"ID","AMBITO_NOMBRE","EMBALSE_NOMBRE","AGUA_TOTAL","ELECTRICO_FLAG"
247,"MIÑO - SIL","BELESAR",655,1
249,"DUERO","ALMENDRA",2649,1
250,"DUERO","CERVERA",11,0
251,"DUERO","SAN JOSÉ",6,0
254,"TAJO","BOLARQUE",31,1
255,"TAJO","BUENDÍA",1705,0
256,"TAJO","GUIJO DE GRANADILLA",13,1
257,"TAJO","VILLAR, EL",23,0
258,"TAJO","VALMAYOR",124,0
261,"EBRO","IRABIA",14,1
262,"EBRO","GRADO, EL",400,0
264,"EBRO","MONTEAGUDO",10,0
265,"EBRO","RIALB",404,0
266,"EBRO","SANTA ANA",237,0
267,"EBRO","SAN LORENZO",10,1
273,"CANTÁBRICO OCCIDENTAL","ARBÓN",41,1
277,"GUADALQUIVIR","DERIVACIÓN RETORTILLO",8,0
283,"GUADALQUIVIR","GUILLENA",5,1
285,"GUADALQUIVIR","NEGRATÍN",571,0
286,"GUADALQUIVIR","VILLAFRANCA",6,0
287,"GUADALQUIVIR","VÍBORAS",19,0
288,"CUENCA MEDITERRÁNEA ANDALUZA","CONCEPCIÓN",62,0
292,"GUADIANA","ALCOLLARÍN",52,0
296,"GUADIANA","PIEDRA AGUDA",16,0
300,"TINTO. ODIEL Y PIEDRAS","JARRAMA",43,0
301,"MIÑO - SIL","SALAS",87,1
303,"DUERO","PUENTE PORTO",23,1
304,"TAJO","ATAZAR, EL",426,0
306,"SEGURA","ALFONSO XIII",22,0
307,"SEGURA","CREVILLENTE",13,0
309,"JÚCAR","LORIGUILLA",73,0
311,"EBRO","BASERCA",22,1
312,"EBRO","CERTESCÁNS",16,1
313,"EBRO","IP",5,1
314,"EBRO","MAR (LAGO)",14,1
316,"GALICIA COSTA","STA UXIA",18,1
318,"CUENCAS INTERNAS DE CATALUÑA","LA BAELLS",115,0
319,"CUENCAS INTERNAS DEL PAÍS VASCO","IBAI-EDER",11,0
324,"CUENCA MEDITERRÁNEA ANDALUZA","BENÍNAR",70,0
325,"GUADALQUIVIR","VADOMOJÓN",163,0
326,"CUENCA MEDITERRÁNEA ANDALUZA","CHARCO REDONDO",82,0
328,"GUADALETE-BARBATE","GUADALCACÍN II",800,0
329,"GUADIANA","CANCHO DEL FRESNO",15,0
330,"GUADIANA","CASTILSERAS",5,0
333,"GUADIANA","RUECAS",44,0
336,"GUADIANA","SIERRA BRAVA",233,0
337,"GUADIANA","VILLALBA DE LOS BARROS",106,0
339,"MIÑO - SIL","PEÑARRUBIA",13,1
341,"MIÑO - SIL","ROZAS, LAS",28,1
342,"DUERO","AGAVANZAL, Nª Sª DE",36,1
343,"DUERO","PONTÓN ALTO, EL",7,0
348,"TAJO","ALCÁNTARA",3162,1
350,"TAJO","SANTILLANA",91,0
351,"TAJO","SAN JUAN",148,0
352,"JÚCAR","BUSEO",8,0
355,"EBRO","ESCARRA",5,1
356,"EBRO","RESPOMUSO",18,1
357,"EBRO","SISTEMA AGUAS LIMPIAS",18,1
359,"EBRO","SANTOLEA",65,0
360,"EBRO","URDICETO",5,1
362,"GALICIA COSTA","FORCADAS, AS",11,0
367,"GUADALQUIVIR","BEMBÉZAR",347,0
369,"GUADALQUIVIR","CORDOBILLA",34,0
371,"GUADALQUIVIR","JOSÉ TORÁN",113,0
374,"GUADIANA","ALANGE",880,0
375,"GUADALETE-BARBATE","HURONES, LOS",135,0
376,"GUADIANA","ANDÉVALO",634,0
377,"GUADIANA","GARCÍA DE SOLA",554,0
381,"GUADIANA","VALUENGO",20,0
382,"MIÑO - SIL","GUÍSTOLAS",5,1
383,"MIÑO - SIL","SAN MARTIÑO",10,1
384,"MIÑO - SIL","SANTA EULALIA",10,1
387,"DUERO","VILLAMECA",20,0
388,"TAJO","FINISTERRE",133,0
389,"TAJO","PINILLA",38,0
390,"SEGURA","SANTOMERA",26,0
391,"EBRO","CIURANA",12,0
392,"EBRO","GUIAMETS",10,0
395,"EBRO","LOTETA (LA)",104,0
396,"EBRO","PAJARES",,0
397,"EBRO","PEÑA, LA",15,0
398,"EBRO","VADIELLO",16,0
400,"CANTÁBRICO OCCIDENTAL","COHILLA, LA",12,1
401,"CANTÁBRICO OCCIDENTAL","SALIME",266,1
402,"GUADALQUIVIR","BERMEJALES",103,0
403,"GUADALQUIVIR","BREÑA II, LA",823,0
404,"GUADALQUIVIR","ENCINAREJO",15,1
405,"GUADALQUIVIR","EL PORTILLO",33,0
408,"GUADALQUIVIR","GIRIBAILE",491,0
409,"GUADALQUIVIR","JÁNDULA",325,0
413,"GUADALQUIVIR","SAN CLEMENTE",120,0
418,"GUADIANA","BROVALES",7,0
425,"GUADIANA","ZÚJAR",723,0
426,"MIÑO - SIL","BÁRCENA",341,0
428,"MIÑO - SIL","PÍAS (SAN AGUSTÍN)",10,1
429,"DUERO","ARLANZÓN",23,0
430,"DUERO","CASTRO DE LAS COGOTAS",59,0
433,"TAJO","ATANCE, EL",35,0
434,"TAJO","MOLINO DE CHINCHA",6,1
435,"TAJO","PICADAS",15,0
436,"TAJO","PORTIÑA, LA",5,0
437,"SEGURA","TAIBILLA",10,0
439,"EBRO","LANUZA",17,0
440,"EBRO","LLAUSET",17,1
441,"EBRO","NAGORE",5,0
443,"EBRO","MEQUINENZA",1534,1
444,"CANTÁBRICO OCCIDENTAL","ALSA - MEDIAJO",33,1
445,"CANTÁBRICO ORIENTAL","AÑARBE",44,0
447,"EBRO","YESA",470,0
448,"EBRO","SISTEMA VALLE DE ARÁN",23,1
449,"CUENCAS INTERNAS DEL PAÍS VASCO","URKULU",10,0
451,"CANTÁBRICO ORIENTAL","IBIUR",8,0
452,"MIÑO - SIL","MONTEFURADO",11,1
